"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","149.64","156.82","166.19","132.71","1.25B","-5.08%"
"Apr 22","157.65","174.03","178.49","155.38","1.69B","-9.71%"
"Mar 22","174.61","164.69","179.61","150.10","2.18B","5.75%"
"Feb 22","165.12","174.01","176.65","152.00","1.63B","-5.53%"
"Jan 22","174.78","177.83","182.94","154.70","2.11B","-1.57%"
"Dec 21","177.57","167.48","182.13","157.80","2.45B","7.42%"
"Nov 21","165.30","148.99","165.70","147.48","1.69B","10.35%"
"Oct 21","149.80","141.90","153.16","138.27","1.57B","5.87%"
"Sep 21","141.50","152.83","157.26","141.27","1.80B","-6.80%"
"Aug 21","151.83","146.36","153.49","144.50","1.46B","4.09%"
"Jul 21","145.86","136.60","150.00","135.76","1.92B","6.50%"
"Jun 21","136.96","125.08","137.41","123.13","1.61B","9.91%"
"May 21","124.61","132.04","134.07","122.25","1.71B","-5.21%"
"Apr 21","131.46","123.66","137.07","122.49","1.89B","7.62%"
"Mar 21","122.15","123.75","128.72","116.21","2.65B","0.73%"
"Feb 21","121.26","133.75","137.88","118.39","1.83B","-8.11%"
"Jan 21","131.96","133.52","145.09","126.38","2.24B","-0.55%"
"Dec 20","132.69","121.01","138.79","120.01","2.32B","11.46%"
"Nov 20","119.05","109.11","121.99","107.32","2.12B","9.36%"
"Oct 20","108.86","117.64","125.39","107.72","2.90B","-6.00%"
"Sep 20","115.81","132.76","137.98","103.10","3.89B","-10.25%"
"Aug 20","129.04","108.20","131.00","107.89","4.07B","21.44%"
"Jul 20","106.26","91.28","106.42","89.14","3.02B","16.51%"
"Jun 20","91.20","79.44","93.09","79.30","3.24B","14.75%"
"May 20","79.48","71.56","81.06","71.46","2.81B","8.21%"
"Apr 20","73.45","61.62","73.63","59.23","3.27B","15.54%"
"Mar 20","63.57","70.57","76.00","53.15","6.28B","-6.98%"
"Feb 20","68.34","76.08","81.81","64.09","3.02B","-11.68%"
"Jan 20","77.38","74.06","81.96","73.19","2.94B","5.41%"
"Dec 19","73.41","66.82","73.49","64.07","2.40B","9.88%"
"Nov 19","66.81","62.38","67.00","62.29","1.80B","7.43%"
"Oct 19","62.19","56.27","62.44","53.78","2.49B","11.07%"
"Sep 19","55.99","51.61","56.60","51.05","2.19B","7.28%"
"Aug 19","52.19","53.48","54.51","48.15","2.73B","-2.01%"
"Jul 19","53.26","50.79","55.34","49.60","1.90B","7.64%"
"Jun 19","49.48","43.90","50.39","42.57","2.06B","13.05%"
"May 19","43.77","52.47","53.83","43.75","2.96B","-12.76%"
"Apr 19","50.17","47.91","52.12","47.09","2.02B","5.64%"
"Mar 19","47.49","43.57","49.42","42.38","2.60B","9.70%"
"Feb 19","43.29","41.74","43.97","41.48","1.89B","4.04%"
"Jan 19","41.61","38.72","42.25","35.50","3.31B","5.50%"
"Dec 18","39.44","46.12","46.23","36.65","3.60B","-11.67%"
"Nov 18","44.65","54.76","55.59","42.56","3.85B","-18.40%"
"Oct 18","54.72","56.99","58.37","51.52","3.16B","-3.05%"
"Sep 18","56.44","57.10","57.42","53.83","2.72B","-0.83%"
"Aug 18","56.91","49.78","57.22","49.33","2.80B","19.63%"
"Jul 18","47.57","45.95","48.99","45.85","1.58B","2.79%"
"Jun 18","46.28","47.00","48.55","45.18","2.11B","-0.94%"
"May 18","46.72","41.60","47.59","41.32","2.48B","13.10%"
"Apr 18","41.31","41.97","44.73","40.16","2.67B","-1.53%"
"Mar 18","41.95","44.63","45.88","41.23","2.85B","-5.79%"
"Feb 18","44.53","41.79","45.15","37.56","3.71B","6.38%"
"Jan 18","41.86","42.54","45.02","41.17","2.64B","-1.06%"
"Dec 17","42.31","42.49","44.30","41.62","2.12B","-1.51%"
"Nov 17","42.96","42.47","44.06","41.32","2.40B","1.66%"
"Oct 17","42.26","38.56","42.41","38.12","2.02B","9.68%"
"Sep 17","38.53","41.20","41.23","37.29","2.72B","-6.02%"
"Aug 17","41.00","37.27","41.13","37.10","2.64B","10.27%"
"Jul 17","37.18","36.22","38.50","35.60","1.69B","3.25%"
"Jun 17","36.01","38.29","38.99","35.55","2.74B","-5.71%"
