"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","2,302.93","2,447.02","2,524.41","2,026.59","4.52M","-7.35%"
"Apr 22","2,485.63","3,282.99","3,367.89","2,432.50","73.26M","-23.75%"
"Mar 22","3,259.95","3,054.65","3,416.63","2,671.45","81.43M","6.14%"
"Feb 22","3,071.26","3,000.00","3,276.69","2,766.66","84.48M","2.67%"
"Jan 22","2,991.47","3,351.00","3,428.00","2,707.04","76.25M","-10.28%"
"Dec 21","3,334.34","3,545.00","3,559.88","3,303.90","64.41M","-4.93%"
"Nov 21","3,507.07","3,361.80","3,762.15","3,283.55","75.74M","3.99%"
"Oct 21","3,372.43","3,289.01","3,479.00","3,176.25","63.68M","2.66%"
"Sep 21","3,285.04","3,496.40","3,549.99","3,273.99","62.49M","-5.35%"
"Aug 21","3,470.79","3,353.10","3,472.58","3,175.76","62.79M","4.30%"
"Jul 21","3,327.59","3,434.61","3,773.08","3,306.98","83.74M","-3.27%"
"Jun 21","3,440.16","3,243.49","3,524.86","3,172.20","67.01M","6.74%"
"May 21","3,223.07","3,484.73","3,486.64","3,127.37","75.19M","-7.05%"
"Apr 21","3,467.42","3,117.94","3,554.00","3,115.55","76.84M","12.07%"
"Mar 21","3,094.08","3,127.89","3,182.00","2,881.00","78.16M","0.04%"
"Feb 21","3,092.93","3,242.36","3,434.00","3,036.70","72.12M","-3.53%"
"Jan 21","3,206.20","3,270.00","3,363.89","3,086.00","71.52M","-1.56%"
"Dec 20","3,256.93","3,188.50","3,350.65","3,072.82","77.54M","2.81%"
"Nov 20","3,168.04","3,061.74","3,366.80","2,950.12","90.78M","4.34%"
"Oct 20","3,036.15","3,208.00","3,496.24","3,019.00","116.25M","-3.58%"
"Sep 20","3,148.73","3,489.58","3,552.25","2,871.00","115.97M","-8.76%"
"Aug 20","3,450.96","3,180.51","3,495.00","3,073.00","83.54M","9.05%"
"Jul 20","3,164.68","2,757.99","3,344.29","2,754.00","127.51M","14.71%"
"Jun 20","2,758.82","2,448.00","2,796.00","2,437.13","87.85M","12.96%"
"May 20","2,442.37","2,336.80","2,525.45","2,256.38","82.62M","-1.28%"
"Apr 20","2,474.00","1,932.97","2,475.00","1,889.15","124.63M","26.89%"
"Mar 20","1,949.72","1,906.49","1,996.33","1,626.03","163.84M","3.50%"
"Feb 20","1,883.75","2,010.60","2,185.95","1,811.13","92.56M","-6.22%"
"Jan 20","2,008.72","1,875.00","2,055.72","1,815.34","84.84M","8.71%"
"Dec 19","1,847.84","1,804.40","1,901.40","1,735.00","68.52M","2.61%"
"Nov 19","1,800.80","1,788.01","1,824.69","1,722.71","52.06M","1.36%"
"Oct 19","1,776.66","1,746.00","1,798.85","1,685.06","72.17M","2.35%"
"Sep 19","1,735.91","1,770.00","1,853.66","1,709.22","62.00M","-2.27%"
"Aug 19","1,776.29","1,871.72","1,897.92","1,743.51","79.99M","-4.85%"
"Jul 19","1,866.78","1,922.98","2,035.80","1,849.44","73.19M","-1.42%"
"Jun 19","1,893.63","1,760.01","1,935.20","1,672.00","74.75M","6.68%"
"May 19","1,775.07","1,933.09","1,964.40","1,772.70","98.21M","-7.86%"
"Apr 19","1,926.52","1,800.11","1,956.34","1,798.73","81.29M","8.19%"
"Mar 19","1,780.75","1,655.13","1,823.75","1,586.57","100.83M","8.59%"
"Feb 19","1,639.83","1,638.88","1,673.06","1,566.76","80.94M","-4.59%"
"Jan 19","1,718.73","1,465.20","1,736.41","1,460.93","134.02M","14.43%"
"Dec 18","1,501.97","1,769.46","1,778.34","1,307.00","154.81M","-11.13%"
"Nov 18","1,690.17","1,623.53","1,784.00","1,420.00","139.29M","5.77%"
"Oct 18","1,598.01","2,021.99","2,033.19","1,476.36","183.23M","-20.22%"
"Sep 18","2,003.00","2,026.50","2,050.50","1,865.00","94.45M","-0.48%"
"Aug 18","2,012.71","1,784.00","2,025.57","1,776.02","96.58M","13.24%"
"Jul 18","1,777.44","1,682.70","1,880.05","1,678.06","97.63M","4.57%"
"Jun 18","1,699.80","1,637.03","1,763.10","1,635.09","85.94M","4.31%"
"May 18","1,629.62","1,563.22","1,635.00","1,546.02","71.62M","4.05%"
"Apr 18","1,566.13","1,417.62","1,638.10","1,352.88","129.95M","8.21%"
"Mar 18","1,447.34","1,513.60","1,617.54","1,365.20","130.40M","-4.30%"
"Feb 18","1,512.45","1,445.00","1,528.70","1,265.93","137.78M","4.24%"
"Jan 18","1,450.89","1,172.00","1,472.58","1,170.51","96.37M","24.06%"
"Dec 17","1,169.47","1,172.05","1,194.78","1,124.74","57.76M","-0.62%"
"Nov 17","1,176.75","1,105.40","1,213.41","1,086.87","77.17M","6.47%"
"Oct 17","1,105.28","964.00","1,122.79","950.37","83.33M","14.97%"
"Sep 17","961.35","984.20","1,000.00","931.75","59.41M","-1.96%"
"Aug 17","980.60","996.11","1,006.40","936.33","77.39M","-0.73%"
"Jul 17","987.78","972.79","1,083.31","951.00","78.81M","2.04%"
"Jun 17","968.00","998.59","1,017.00","927.00","96.14M","-2.68%"
