"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","319.11","325.06","327.27","304.05","4.16M","-1.15%"
"Apr 22","322.83","353.65","354.58","320.50","82.22M","-8.52%"
"Mar 22","352.91","319.55","360.00","313.60","6.00M","9.79%"
"Feb 22","321.45","312.64","325.63","299.51","102.30M","2.69%"
"Jan 22","313.02","300.10","324.40","294.81","109.48M","4.69%"
"Dec 21","299.00","279.54","301.65","274.79","101.96M","8.06%"
"Nov 21","276.69","288.05","295.65","275.89","86.38M","-3.60%"
"Oct 21","287.01","273.02","292.22","272.22","74.98M","5.15%"
"Sep 21","272.94","286.59","287.14","271.36","104.92M","-4.49%"
"Aug 21","285.77","279.31","291.82","276.77","77.67M","2.69%"
"Jul 21","278.29","278.20","282.22","270.73","80.62M","0.13%"
"Jun 21","277.92","291.52","293.27","272.45","109.24M","-3.98%"
"May 21","289.44","278.55","295.08","276.78","98.74M","5.27%"
"Apr 21","274.95","255.74","277.79","254.80","85.04M","7.63%"
"Mar 21","255.47","246.86","267.50","243.23","151.39M","6.22%"
"Feb 21","240.51","229.97","250.56","228.04","86.18M","5.55%"
"Jan 21","227.87","231.73","236.24","226.10","103.35M","-1.73%"
"Dec 20","231.87","230.23","232.28","221.26","124.86M","1.29%"
"Nov 20","228.91","204.84","234.99","203.06","104.48M","13.38%"
"Oct 20","201.90","214.30","217.43","197.81","91.64M","-5.18%"
"Sep 20","212.94","216.92","223.24","206.58","115.36M","-2.34%"
"Aug 20","218.04","197.28","219.45","196.00","102.38M","11.37%"
"Jul 20","195.78","178.41","196.67","177.34","126.05M","9.67%"
"Jun 20","178.51","185.53","203.33","174.63","172.24M","-3.81%"
"May 20","185.58","185.21","187.28","167.04","144.08M","-0.95%"
"Apr 20","187.36","176.18","197.23","174.19","151.39M","2.48%"
"Mar 20","182.83","207.25","218.80","159.50","276.96M","-11.39%"
"Feb 20","206.34","225.48","230.08","199.68","95.31M","-8.06%"
"Jan 20","224.43","227.51","231.61","221.11","79.85M","-0.91%"
"Dec 19","226.50","220.60","228.23","216.40","80.50M","2.81%"
"Nov 19","220.30","213.55","223.37","213.40","72.12M","3.63%"
"Oct 19","212.58","208.94","213.71","201.33","78.11M","2.19%"
"Sep 19","208.02","201.19","214.58","200.19","78.38M","2.27%"
"Aug 19","203.41","205.63","206.98","195.40","97.33M","-0.98%"
"Jul 19","205.43","214.25","216.58","204.36","69.46M","-3.63%"
"Jun 19","213.17","197.62","213.33","196.89","72.13M","7.98%"
"May 19","197.42","217.22","219.16","197.07","88.80M","-8.90%"
"Apr 19","216.71","202.16","217.32","202.00","64.25M","7.87%"
"Mar 19","200.89","203.15","207.75","197.03","89.07M","-0.20%"
"Feb 19","201.30","206.52","209.40","198.21","80.02M","-2.06%"
"Jan 19","205.54","201.73","208.01","191.04","99.69M","0.67%"
"Dec 18","204.18","221.98","223.59","186.10","123.64M","-6.44%"
"Nov 18","218.24","205.60","223.52","203.39","92.11M","6.31%"
"Oct 18","205.28","215.92","224.07","197.29","111.55M","-4.12%"
"Sep 18","214.11","209.21","223.00","208.04","81.81M","2.58%"
"Aug 18","208.72","198.80","211.32","196.77","85.48M","5.48%"
"Jul 18","197.87","186.09","201.40","185.72","79.85M","6.01%"
"Jun 18","186.65","192.90","196.74","184.75","96.47M","-2.55%"
"May 18","191.53","193.76","202.41","188.62","85.91M","-1.14%"
"Apr 18","193.73","199.01","202.77","192.02","78.80M","-2.88%"
"Mar 18","199.48","206.82","213.36","191.87","100.51M","-3.73%"
"Feb 18","207.20","214.49","217.50","189.30","113.73M","-3.35%"
"Jan 18","214.38","198.87","217.62","195.96","86.83M","8.15%"
"Dec 17","198.22","193.59","200.50","189.72","78.50M","2.70%"
"Nov 17","193.01","188.10","193.81","180.44","67.33M","3.25%"
"Oct 17","186.94","183.45","190.68","182.93","58.81M","1.97%"
"Sep 17","183.32","181.60","184.00","172.61","69.48M","1.19%"
"Aug 17","181.16","175.93","181.87","174.81","68.41M","3.54%"
"Jul 17","174.97","170.40","175.60","168.00","56.31M","3.31%"
"Jun 17","169.37","165.80","171.95","164.75","74.74M","2.47%"
