"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","181.09","181.12","181.74","172.69","5.83M","0.35%"
"Apr 22","180.46","177.05","186.69","175.52","163.46M","1.82%"
"Mar 22","177.23","163.04","180.21","162.41","180.11M","7.69%"
"Feb 22","164.57","171.74","173.62","155.72","154.06M","-4.48%"
"Jan 22","172.29","170.21","174.30","158.26","165.40M","0.71%"
"Dec 21","171.07","156.88","173.51","156.25","167.97M","9.71%"
"Nov 21","155.93","163.16","167.62","155.85","163.69M","-4.27%"
"Oct 21","162.88","161.53","166.03","157.34","136.33M","0.85%"
"Sep 21","161.50","172.90","175.22","161.41","131.97M","-6.72%"
"Aug 21","173.13","172.47","179.92","171.30","114.23M","0.54%"
"Jul 21","172.20","164.74","173.38","164.63","133.73M","4.53%"
"Jun 21","164.74","170.15","170.20","161.79","145.67M","-2.66%"
"May 21","169.25","163.60","172.74","163.12","133.90M","4.01%"
"Apr 21","162.73","162.60","167.79","156.53","162.67M","-0.99%"
"Mar 21","164.35","161.45","167.03","151.47","175.08M","3.72%"
"Feb 21","158.46","165.31","167.94","157.97","147.69M","-2.86%"
"Jan 21","163.13","157.24","173.65","154.13","184.50M","3.65%"
"Dec 20","157.38","146.29","157.66","145.86","158.93M","8.78%"
"Nov 20","144.68","138.98","151.30","137.49","153.65M","5.52%"
"Oct 20","137.11","149.31","153.14","133.65","137.29M","-7.91%"
"Sep 20","148.88","153.87","155.47","142.96","138.80M","-2.95%"
"Aug 20","153.41","146.39","154.40","145.82","109.98M","5.25%"
"Jul 20","145.76","140.69","151.67","140.06","137.89M","3.65%"
"Jun 20","140.63","147.29","150.03","137.02","174.06M","-5.46%"
"May 20","148.75","149.62","153.62","143.01","136.21M","-0.86%"
"Apr 20","150.04","127.70","157.00","125.50","234.39M","14.42%"
"Mar 20","131.13","134.78","143.64","109.16","355.93M","-2.49%"
"Feb 20","134.48","149.42","154.50","130.82","147.30M","-9.67%"
"Jan 20","148.87","145.87","151.19","141.38","150.33M","2.06%"
"Dec 19","145.87","137.72","147.84","136.16","128.93M","6.09%"
"Nov 19","137.49","132.05","138.63","129.68","127.80M","4.13%"
"Oct 19","132.04","130.02","137.49","126.10","208.22M","2.06%"
"Sep 19","129.38","127.99","132.78","126.34","124.20M","0.79%"
"Aug 19","128.36","130.26","134.10","126.63","176.53M","-1.43%"
"Jul 19","130.22","140.20","142.47","127.84","159.85M","-6.50%"
"Jun 19","139.28","131.50","144.98","131.04","150.88M","6.20%"
"May 19","131.15","140.95","142.35","128.52","159.04M","-7.12%"
"Apr 19","141.20","139.99","141.45","134.42","124.33M","1.01%"
"Mar 19","139.79","137.22","140.00","135.74","137.36M","2.31%"
"Feb 19","136.64","134.02","137.95","131.26","119.45M","2.68%"
"Jan 19","133.08","128.13","135.19","125.00","174.39M","3.12%"
"Dec 18","129.05","145.57","148.99","121.00","289.17M","-12.15%"
"Nov 18","146.90","140.07","148.75","139.00","152.75M","4.94%"
"Oct 18","139.99","138.26","141.43","132.23","167.97M","1.32%"
"Sep 18","138.17","134.69","143.13","133.44","122.17M","2.58%"
"Aug 18","134.69","132.39","137.43","128.93","124.00M","1.64%"
"Jul 18","132.52","121.34","132.64","120.11","145.91M","9.21%"
"Jun 18","121.34","120.38","124.84","119.97","139.91M","1.44%"
"May 18","119.62","126.32","127.61","118.62","139.53M","-5.43%"
"Apr 18","126.49","127.82","132.88","123.54","144.14M","-1.30%"
"Mar 18","128.15","129.11","135.70","124.90","151.84M","-1.33%"
"Feb 18","129.88","137.53","140.67","122.15","177.03M","-6.01%"
"Jan 18","138.19","139.66","148.32","138.10","170.95M","-1.10%"
"Dec 17","139.72","139.57","143.80","138.60","114.02M","0.28%"
"Nov 17","139.33","139.83","141.87","136.60","93.74M","-0.06%"
"Oct 17","139.41","130.16","144.35","130.02","123.84M","7.23%"
"Sep 17","130.01","132.60","135.79","129.05","116.21M","-1.78%"
"Aug 17","132.37","133.17","134.97","130.90","107.06M","-0.26%"
"Jul 17","132.72","132.79","137.08","129.57","107.89M","0.33%"
"Jun 17","132.29","128.32","137.00","128.12","145.56M","3.15%"
