"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","273.24","278.00","290.34","246.46","26.68M","-1.54%"
"Apr 22","277.52","309.37","315.09","270.03","36.89M","-9.99%"
"Mar 22","308.31","296.40","315.95","270.00","734.35M","3.19%"
"Feb 22","298.79","310.41","315.12","271.52","697.29M","-3.92%"
"Jan 22","310.98","335.35","338.00","276.05","947.68M","-7.53%"
"Dec 21","336.32","335.13","344.30","317.25","625.74M","1.73%"
"Nov 21","330.59","331.36","349.67","326.37","509.45M","-0.31%"
"Oct 21","331.62","282.12","332.00","280.25","516.52M","17.63%"
"Sep 21","281.92","302.86","305.32","281.62","502.79M","-6.61%"
"Aug 21","301.88","286.36","305.84","283.74","441.07M","5.96%"
"Jul 21","284.91","269.61","290.15","269.60","522.69M","5.17%"
"Jun 21","270.90","251.23","271.65","243.00","508.57M","8.50%"
"May 21","249.68","253.40","254.35","238.07","495.09M","-0.99%"
"Apr 21","252.18","238.47","263.19","238.05","568.70M","6.96%"
"Mar 21","235.77","235.90","241.05","224.26","724.05M","1.46%"
"Feb 21","232.38","235.06","246.13","227.88","490.98M","0.18%"
"Jan 21","231.96","222.53","242.64","211.94","648.00M","4.29%"
"Dec 20","222.42","214.51","227.18","209.11","594.42M","3.90%"
"Nov 20","214.07","204.29","228.12","200.12","573.11M","5.73%"
"Oct 20","202.47","213.49","225.21","199.62","631.67M","-3.74%"
"Sep 20","210.33","225.51","232.86","196.25","768.53M","-6.74%"
"Aug 20","225.53","211.52","231.15","203.14","692.50M","10.01%"
"Jul 20","205.01","203.14","216.38","197.51","770.51M","0.74%"
"Jun 20","203.51","182.54","204.40","181.35","765.01M","11.06%"
"May 20","183.25","175.80","187.51","173.80","688.96M","2.25%"
"Apr 20","179.21","153.00","180.40","150.36","984.81M","13.63%"
"Mar 20","157.71","165.31","175.00","132.52","1.61B","-2.65%"
"Feb 20","162.01","170.43","190.70","152.00","887.89M","-4.83%"
"Jan 20","170.23","158.78","174.05","156.51","559.25M","7.95%"
"Dec 19","157.70","151.81","159.55","146.65","452.66M","4.17%"
"Nov 19","151.38","144.26","152.50","142.96","393.03M","5.59%"
"Oct 19","143.37","139.66","145.67","133.22","563.29M","3.12%"
"Sep 19","139.03","136.61","142.37","134.51","477.65M","0.85%"
"Aug 19","137.86","137.00","140.94","130.78","585.58M","1.17%"
"Jul 19","136.27","136.63","141.68","134.67","484.55M","1.72%"
"Jun 19","133.96","123.85","138.40","119.01","508.32M","8.31%"
"May 19","123.68","130.53","130.65","123.04","547.22M","-5.30%"
"Apr 19","130.60","118.95","131.37","118.10","433.16M","10.73%"
"Mar 19","117.94","112.89","120.82","108.80","589.05M","5.28%"
"Feb 19","112.03","103.78","113.24","102.35","469.10M","7.28%"
"Jan 19","104.43","99.55","107.90","97.20","714.20M","2.82%"
"Dec 18","101.57","113.00","113.42","93.96","944.29M","-8.40%"
"Nov 18","110.89","107.05","112.24","99.35","720.23M","3.82%"
"Oct 18","106.81","114.75","116.18","100.11","927.55M","-6.61%"
"Sep 18","114.37","110.85","115.29","107.23","480.26M","1.82%"
"Aug 18","112.33","106.03","112.78","104.84","456.63M","5.89%"
"Jul 18","106.08","98.10","111.15","98.00","569.50M","7.58%"
"Jun 18","98.61","99.28","102.69","97.26","602.59M","-0.23%"
"May 18","98.84","93.21","99.99","92.45","509.42M","5.69%"
"Apr 18","93.52","90.47","97.90","87.51","668.26M","2.47%"
"Mar 18","91.27","93.99","97.24","87.08","750.75M","-2.67%"
"Feb 18","93.77","94.79","96.07","83.83","725.66M","-1.31%"
"Jan 18","95.01","86.13","95.45","85.50","574.26M","11.07%"
"Dec 17","85.54","83.60","87.50","80.70","466.20M","1.63%"
"Nov 17","84.17","83.68","85.06","82.24","421.93M","1.19%"
"Oct 17","83.18","74.71","86.20","73.71","449.95M","11.67%"
"Sep 17","74.49","74.71","75.97","72.92","376.67M","-0.37%"
"Aug 17","74.77","73.10","74.96","71.28","442.76M","2.85%"
"Jul 17","72.70","69.33","74.42","68.02","469.85M","5.47%"
"Jun 17","68.93","70.24","72.89","68.09","629.72M","-1.30%"
