"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","188.11","185.50","204.00","155.70","232.30M","1.42%"
"Apr 22","185.47","273.75","275.58","182.90","1.11B","-32.03%"
"Mar 22","272.86","242.91","289.46","206.50","1.16B","11.90%"
"Feb 22","243.85","251.04","269.25","208.90","1.06B","-0.41%"
"Jan 22","244.86","298.15","307.11","208.88","1.07B","-16.75%"
"Dec 21","294.11","332.19","332.89","271.45","1.11B","-9.99%"
"Nov 21","326.76","256.49","346.47","252.27","1.08B","27.81%"
"Oct 21","255.67","207.50","257.09","195.55","497.11M","23.42%"
"Sep 21","207.16","224.85","229.86","204.67","499.96M","-7.46%"
"Aug 21","223.85","197.00","230.43","187.62","641.69M","14.80%"
"Jul 21","194.99","201.25","208.75","178.66","782.37M","-2.52%"
"Jun 21","200.03","162.70","201.62","159.03","1.03B","23.14%"
"May 21","162.44","151.25","162.77","134.59","705.47M","8.23%"
"Apr 21","150.09","135.72","162.14","135.11","671.91M","12.44%"
"Mar 21","133.48","138.75","139.25","115.67","764.95M","-2.68%"
"Feb 21","137.15","130.53","153.72","129.03","668.15M","5.58%"
"Jan 21","129.90","131.04","139.99","125.86","615.54M","-0.50%"
"Dec 20","130.55","134.92","137.31","127.63","512.28M","-2.58%"
"Nov 20","134.01","126.58","146.91","123.95","759.61M","6.92%"
"Oct 20","125.34","137.58","143.48","123.00","802.37M","-7.37%"
"Sep 20","135.31","134.80","147.27","117.04","1.59B","1.17%"
"Aug 20","133.75","107.33","135.75","107.15","967.39M","26.00%"
"Jul 20","106.15","95.21","107.92","94.13","809.53M","11.76%"
"Jun 20","94.98","88.33","96.42","86.58","972.01M","7.02%"
"May 20","88.75","71.09","91.82","70.21","1.26B","21.46%"
"Apr 20","73.07","63.91","76.05","59.60","1.13B","10.88%"
"Mar 20","65.90","69.22","71.22","45.17","1.58B","-2.40%"
"Feb 20","67.52","58.92","79.08","58.86","1.19B","14.23%"
"Jan 20","59.11","59.69","64.88","57.82","613.28M","0.48%"
"Dec 19","58.83","54.12","60.45","50.09","657.32M","8.56%"
"Nov 19","54.19","49.90","55.35","49.65","733.84M","7.82%"
"Oct 19","50.26","43.75","52.23","42.53","781.08M","15.49%"
"Sep 19","43.52","41.15","47.10","40.81","640.75M","3.92%"
"Aug 19","41.88","42.28","43.36","36.85","954.94M","-0.71%"
"Jul 19","42.18","43.14","44.72","38.75","841.87M","2.73%"
"Jun 19","41.06","33.98","41.34","33.15","823.33M","21.23%"
"May 19","33.87","45.78","46.22","33.85","1.12B","-25.15%"
"Apr 19","45.25","45.81","48.37","43.33","944.31M","0.80%"
"Mar 19","44.89","39.07","46.25","36.20","1.21B","16.42%"
"Feb 19","38.56","36.12","41.32","35.65","1.14B","7.29%"
"Jan 19","35.94","32.66","40.22","31.92","1.69B","7.67%"
"Dec 18","33.38","43.15","43.67","31.11","1.25B","-18.31%"
"Nov 18","40.86","53.08","55.50","33.33","1.62B","-22.48%"
"Oct 18","52.71","71.04","73.19","44.00","1.30B","-24.97%"
"Sep 18","70.25","70.04","71.31","64.67","634.02M","0.11%"
"Aug 18","70.17","61.53","70.43","59.68","1.09B","14.62%"
"Jul 18","61.22","58.52","64.15","58.32","632.33M","3.36%"
"Jun 18","59.23","63.50","67.30","58.75","878.55M","-6.06%"
"May 18","63.05","56.14","65.12","55.55","1.20B","12.13%"
"Apr 18","56.23","57.19","59.81","52.58","1.11B","-2.88%"
"Mar 18","57.90","60.48","63.62","54.25","1.41B","-4.30%"
"Feb 18","60.50","59.63","62.99","51.00","1.49B","-1.55%"
"Jan 18","61.45","48.95","62.32","48.62","1.15B","27.02%"
"Dec 17","48.38","49.83","50.08","45.15","1.01B","-3.59%"
"Nov 17","50.18","52.34","54.67","47.81","1.18B","-2.94%"
"Oct 17","51.70","45.20","51.97","44.25","1.14B","15.69%"
"Sep 17","44.69","42.49","47.80","40.68","1.44B","5.50%"
"Aug 17","42.36","40.53","43.64","38.23","1.47B","4.26%"
"Jul 17","40.63","36.26","42.48","34.65","1.55B","12.42%"
"Jun 17","36.14","36.25","42.12","35.53","2.34B","0.14%"
