"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","7.830","7.740","8.350","6.370","7.39M","1.16%"
"Apr 22","7.740","8.300","9.580","7.530","8.24M","-4.09%"
"Mar 22","8.070","8.900","9.295","7.115","8.89M","-8.09%"
"Feb 22","8.780","7.750","8.825","7.305","165.33M","12.42%"
"Jan 22","7.810","6.080","8.590","6.030","167.38M","30.60%"
"Dec 21","5.980","6.450","6.995","5.400","165.60M","-4.01%"
"Nov 21","6.230","7.400","8.290","5.820","124.32M","-13.47%"
"Oct 21","7.200","6.777","7.842","6.585","130.66M","7.46%"
"Sep 21","6.700","5.100","6.800","4.950","142.64M","31.37%"
"Aug 21","5.100","5.170","5.460","3.900","148.06M","-2.11%"
"Jul 21","5.210","7.020","7.300","5.030","137.44M","-23.16%"
"Jun 21","6.780","5.510","7.515","5.472","211.33M","28.17%"
"May 21","5.290","4.290","5.397","3.960","162.51M","24.76%"
"Apr 21","4.240","4.250","4.910","3.690","155.20M","0.95%"
"Mar 21","4.200","4.090","6.250","3.760","289.76M","6.06%"
"Feb 21","3.960","2.420","4.400","2.340","175.15M","69.23%"
"Jan 21","2.340","1.500","2.870","1.440","157.37M","56.00%"
"Dec 20","1.500","1.170","1.910","1.040","143.79M","27.12%"
"Nov 20","1.180","0.599","1.350","0.585","140.55M","90.41%"
"Oct 20","0.620","0.600","0.750","0.531","102.23M","2.87%"
"Sep 20","0.602","0.720","0.810","0.505","179.64M","-17.05%"
"Aug 20","0.726","0.800","0.985","0.718","136.62M","-7.76%"
"Jul 20","0.787","0.930","0.994","0.715","264.66M","-11.54%"
"Jun 20","0.890","1.020","2.210","0.870","390.43M","-11.88%"
"May 20","1.010","1.030","1.225","0.700","340.63M","-14.41%"
"Apr 20","1.180","0.262","1.250","0.235","510.67M","348.67%"
"Mar 20","0.263","2.450","2.450","0.245","286.32M","-88.90%"
"Feb 20","2.370","3.260","3.310","2.035","145.21M","-27.30%"
"Jan 20","3.260","4.670","5.350","3.170","147.82M","-29.44%"
"Dec 19","4.620","3.130","4.740","2.920","122.35M","49.51%"
"Nov 19","3.090","3.470","4.010","2.940","116.62M","-9.12%"
"Oct 19","3.400","4.580","4.605","3.110","132.45M","-24.70%"
"Sep 19","4.515","4.690","6.090","4.280","211.97M","-6.33%"
"Aug 19","4.820","5.820","5.820","3.920","134.56M","-18.99%"
"Jul 19","5.950","7.740","7.830","5.340","87.61M","-21.61%"
"Jun 19","7.590","8.000","8.070","6.220","81.67M","-3.92%"
"May 19","7.900","10.600","10.680","7.780","66.77M","-24.98%"
"Apr 19","10.530","8.910","10.950","8.390","69.40M","19.80%"
"Mar 19","8.790","9.140","9.483","8.280","82.37M","-3.09%"
"Feb 19","9.070","13.250","13.430","9.060","72.58M","-31.13%"
"Jan 19","13.170","10.670","14.210","10.530","64.22M","19.51%"
"Dec 18","11.020","16.020","16.470","9.870","79.51M","-28.99%"
"Nov 18","15.520","19.290","20.490","15.270","64.98M","-19.00%"
"Oct 18","19.160","21.900","23.120","17.500","50.37M","-12.31%"
"Sep 18","21.850","19.370","22.045","18.690","49.28M","13.39%"
"Aug 18","19.270","17.870","19.580","17.290","51.68M","7.29%"
"Jul 18","17.960","17.640","18.960","16.970","36.98M","-0.55%"
"Jun 18","18.060","17.740","19.200","15.780","72.66M","2.61%"
"May 18","17.600","18.500","20.990","17.570","61.39M","-4.86%"
"Apr 18","18.500","18.080","20.000","16.350","52.32M","0.82%"
"Mar 18","18.350","19.190","20.270","17.400","48.36M","-3.83%"
"Feb 18","19.080","20.500","20.900","17.150","33.94M","-6.52%"
"Jan 18","20.410","19.950","22.140","19.620","36.07M","3.08%"
"Dec 17","19.800","20.500","20.800","18.580","27.65M","-2.41%"
"Nov 17","20.290","19.570","22.110","19.050","54.92M","4.43%"
"Oct 17","19.430","17.890","19.580","17.480","26.27M","8.12%"
"Sep 17","17.970","17.370","19.320","16.144","25.79M","3.93%"
"Aug 17","17.290","17.240","18.190","15.350","26.08M","3.04%"
"Jul 17","16.780","15.930","17.250","14.210","26.70M","6.07%"
"Jun 17","15.820","15.680","16.195","14.100","40.64M","1.48%"
