"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","195.13","201.24","223.86","176.16","425.43M","-2.66%"
"Apr 22","200.47","224.55","236.86","169.00","672.30M","-9.84%"
"Mar 22","222.36","209.87","231.15","185.82","733.29M","5.37%"
"Feb 22","211.03","314.56","328.00","190.22","1.13B","-32.63%"
"Jan 22","313.26","338.30","343.09","289.01","427.35M","-6.86%"
"Dec 21","336.35","330.29","352.71","299.50","438.30M","3.66%"
"Nov 21","324.46","326.04","353.83","323.20","441.13M","0.28%"
"Oct 21","323.57","341.61","345.02","308.11","588.38M","-4.66%"
"Sep 21","339.39","379.59","384.33","338.15","338.13M","-10.54%"
"Aug 21","379.38","358.10","382.76","347.70","226.15M","6.48%"
"Jul 21","356.30","346.82","377.55","334.50","335.42M","2.47%"
"Jun 21","347.71","330.15","358.14","323.48","344.81M","5.77%"
"May 21","328.73","326.17","333.78","298.19","353.42M","1.12%"
"Apr 21","325.08","298.40","331.81","296.04","421.28M","10.37%"
"Mar 21","294.53","260.82","299.70","253.50","497.46M","14.33%"
"Feb 21","257.62","259.52","276.60","254.04","317.78M","-0.27%"
"Jan 21","258.33","274.78","286.79","244.61","452.70M","-5.43%"
"Dec 20","273.16","279.16","291.78","264.63","363.96M","-1.38%"
"Nov 20","276.97","264.60","297.38","257.34","356.80M","5.27%"
"Oct 20","263.11","265.35","285.24","254.82","454.18M","0.46%"
"Sep 20","261.90","294.71","303.60","244.13","499.18M","-10.68%"
"Aug 20","293.20","252.65","304.67","247.43","574.31M","15.58%"
"Jul 20","253.67","228.50","255.85","226.90","517.67M","11.71%"
"Jun 20","227.07","224.59","245.19","207.11","548.04M","0.88%"
"May 20","225.09","201.60","240.90","198.76","509.64M","9.96%"
"Apr 20","204.71","161.62","209.69","150.83","541.54M","22.73%"
"Mar 20","166.80","194.03","197.24","137.10","649.51M","-13.34%"
"Feb 20","192.47","203.44","218.76","181.82","317.63M","-4.68%"
"Jan 20","201.91","206.75","224.20","201.06","348.10M","-1.63%"
"Dec 19","205.25","202.13","208.93","193.17","278.23M","1.79%"
"Nov 19","201.64","192.85","203.80","188.54","258.58M","5.21%"
"Oct 19","191.65","179.15","198.09","173.09","330.15M","7.62%"
"Sep 19","178.08","184.00","193.10","175.66","267.51M","-4.09%"
"Aug 19","185.67","194.17","198.47","176.66","295.17M","-4.41%"
"Jul 19","194.23","195.21","208.66","191.93","351.06M","0.64%"
"Jun 19","193.00","175.00","194.53","160.84","426.43M","8.75%"
"May 19","177.47","194.78","196.18","177.16","286.82M","-8.24%"
"Apr 19","193.40","167.83","198.48","167.28","382.18M","16.02%"
"Mar 19","166.69","162.60","174.30","159.28","388.17M","3.25%"
"Feb 19","161.45","165.84","172.47","159.59","302.24M","-3.14%"
"Jan 19","166.69","128.99","171.68","128.56","527.56M","27.16%"
"Dec 18","131.09","143.00","147.19","123.02","558.79M","-6.77%"
"Nov 18","140.61","151.52","154.13","126.85","518.15M","-7.37%"
"Oct 18","151.79","163.03","165.88","139.03","622.45M","-7.70%"
"Sep 18","164.46","173.50","173.89","158.87","500.47M","-6.41%"
"Aug 18","175.73","173.93","188.30","170.27","549.02M","1.83%"
"Jul 18","172.58","193.37","218.62","166.56","652.76M","-11.19%"
"Jun 18","194.32","193.06","203.55","186.43","387.27M","1.32%"
"May 18","191.78","172.00","192.72","170.23","401.14M","11.50%"
"Apr 18","172.00","157.81","177.10","150.51","751.13M","7.64%"
"Mar 18","159.79","179.01","186.10","149.02","996.23M","-10.39%"
"Feb 18","178.32","188.22","195.32","167.18","516.62M","-4.59%"
"Jan 18","186.89","177.68","190.66","175.80","495.66M","5.91%"
"Dec 17","176.46","176.03","182.28","169.01","317.10M","-0.41%"
"Nov 17","177.18","182.36","184.25","174.00","351.00M","-1.60%"
"Oct 17","180.06","171.39","180.80","168.29","318.15M","5.38%"
"Sep 17","170.87","172.40","174.00","161.56","304.83M","-0.64%"
"Aug 17","171.97","169.82","173.05","165.00","303.62M","1.61%"
"Jul 17","169.25","151.72","175.49","147.80","419.91M","12.10%"
"Jun 17","150.98","151.75","156.50","144.56","414.76M","-0.32%"
