"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","137.21","123.87","143.70","81.33","7.48M","9.71%"
"Apr 22","125.07","188.54","189.12","123.01","1.27M","-24.92%"
"Mar 22","166.58","122.31","189.59","77.58","8.79M","35.06%"
"Feb 22","123.34","113.01","132.85","95.08","46.28M","13.23%"
"Jan 22","108.93","149.23","160.31","86.29","84.63M","-26.59%"
"Dec 21","148.39","199.40","200.10","129.50","59.49M","-24.37%"
"Nov 21","196.21","182.53","255.69","182.05","53.31M","6.92%"
"Oct 21","183.51","179.40","192.18","165.81","35.82M","4.58%"
"Sep 21","175.47","224.00","231.44","166.79","63.50M","-19.60%"
"Aug 21","218.24","162.00","227.00","145.22","82.01M","35.45%"
"Jul 21","161.12","213.40","216.83","158.01","54.02M","-24.76%"
"Jun 21","214.14","233.48","344.66","197.00","185.02M","-3.54%"
"May 21","222.00","177.49","268.80","136.50","137.36M","27.89%"
"Apr 21","173.59","193.36","196.97","132.00","172.43M","-8.55%"
"Mar 21","189.82","104.54","348.50","99.97","679.79M","86.57%"
"Feb 21","101.74","316.56","322.00","38.50","827.56M","-68.70%"
"Jan 21","325.00","19.00","483.00","17.08","1.26B","1,625.05%"
"Dec 20","18.84","17.11","22.35","12.14","251.34M","13.77%"
"Nov 20","16.56","10.82","19.42","10.50","161.52M","58.17%"
"Oct 20","10.47","10.09","15.87","9.10","359.89M","2.65%"
"Sep 20","10.20","7.30","11.17","5.87","254.96M","52.69%"
"Aug 20","6.68","4.03","7.15","4.00","117.27M","66.58%"
"Jul 20","4.01","4.31","4.55","3.77","55.50M","-7.60%"
"Jun 20","4.34","4.12","5.53","4.02","100.29M","6.90%"
"May 20","4.06","5.65","6.18","3.96","53.53M","-29.14%"
"Apr 20","5.73","3.45","6.47","2.57","99.74M","63.71%"
"Mar 20","3.50","3.60","5.09","3.39","100.51M","-2.78%"
"Feb 20","3.60","3.88","4.51","3.18","55.79M","-6.25%"
"Jan 20","3.84","6.14","6.47","3.83","81.07M","-36.84%"
"Dec 19","6.08","6.35","6.92","5.18","121.27M","-4.10%"
"Nov 19","6.34","5.45","6.39","5.35","56.93M","16.54%"
"Oct 19","5.44","5.64","6.62","4.96","106.17M","-1.45%"
"Sep 19","5.52","3.97","5.64","3.66","210.01M","39.04%"
"Aug 19","3.97","4.02","4.36","3.15","151.06M","-1.24%"
"Jul 19","4.02","5.53","5.64","3.90","155.01M","-26.51%"
"Jun 19","5.47","7.58","7.85","4.71","170.30M","-27.84%"
"May 19","7.58","8.66","8.99","7.32","67.42M","-12.37%"
"Apr 19","8.65","10.29","10.42","8.53","114.52M","-14.86%"
"Mar 19","10.16","11.88","12.10","10.07","67.21M","-13.16%"
"Feb 19","11.70","11.31","11.93","11.00","54.71M","3.17%"
"Jan 19","11.34","12.45","16.90","11.10","107.23M","-10.14%"
"Dec 18","12.62","13.82","14.11","11.56","50.16M","-7.61%"
"Nov 18","13.66","14.61","15.76","12.14","84.57M","-6.44%"
"Oct 18","14.60","15.28","15.60","13.64","52.30M","-4.39%"
"Sep 18","15.27","13.17","17.04","13.08","75.14M","15.07%"
"Aug 18","13.27","14.42","17.27","13.18","84.43M","-7.91%"
"Jul 18","14.41","14.59","15.62","14.00","52.10M","-1.10%"
"Jun 18","14.57","12.80","15.98","12.70","157.30M","10.38%"
"May 18","13.20","13.58","13.89","12.26","98.52M","-3.30%"
"Apr 18","13.65","12.51","14.18","12.50","94.34M","8.16%"
"Mar 18","12.62","15.79","16.23","12.20","103.28M","-19.57%"
"Feb 18","15.69","16.70","17.00","15.10","65.24M","-6.66%"
"Jan 18","16.81","17.96","20.31","16.61","89.77M","-6.35%"
"Dec 17","17.95","18.73","19.86","17.94","57.88M","-4.27%"
"Nov 17","18.75","18.67","19.69","15.85","106.95M","0.32%"
"Oct 17","18.69","20.65","20.68","18.59","38.11M","-9.54%"
"Sep 17","20.66","18.60","20.97","18.55","40.39M","11.68%"
"Aug 17","18.50","21.69","22.37","18.47","71.64M","-14.71%"
"Jul 17","21.69","21.77","22.00","20.65","35.48M","0.37%"
"Jun 17","21.61","22.15","22.96","20.26","55.70M","-2.39%"
