"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","2,255.98","2,299.33","2,456.54","2,044.16","1.49M","-1.89%"
"Apr 22","2,299.33","2,800.20","2,880.80","2,263.53","1.68M","-17.67%"
"Mar 22","2,792.99","2,691.68","2,882.84","2,517.22","1.47M","3.53%"
"Feb 22","2,697.82","2,756.70","3,042.00","2,495.29","36.62M","-0.60%"
"Jan 22","2,713.97","2,889.51","2,932.20","2,492.84","30.78M","-6.21%"
"Dec 21","2,893.59","2,884.25","2,992.10","2,805.00","23.95M","1.56%"
"Nov 21","2,849.04","2,963.30","3,037.00","2,841.32","22.15M","-3.92%"
"Oct 21","2,965.41","2,671.09","2,982.36","2,623.33","24.83M","11.26%"
"Sep 21","2,665.31","2,913.00","2,936.41","2,660.00","25.26M","-8.38%"
"Aug 21","2,909.24","2,709.69","2,929.79","2,683.67","18.61M","7.57%"
"Jul 21","2,704.42","2,497.00","2,800.22","2,497.00","22.84M","7.90%"
"Jun 21","2,506.30","2,422.00","2,555.90","2,382.80","27.43M","3.93%"
"May 21","2,411.60","2,402.70","2,442.90","2,230.10","25.46M","0.06%"
"Apr 21","2,410.10","2,097.90","2,452.40","2,096.90","30.73M","16.51%"
"Mar 21","2,068.63","2,056.52","2,128.81","2,010.00","34.79M","1.56%"
"Feb 21","2,036.86","1,853.57","2,152.68","1,850.93","29.43M","10.96%"
"Jan 21","1,835.74","1,757.54","1,934.86","1,699.00","33.08M","4.79%"
"Dec 20","1,751.88","1,774.37","1,847.20","1,699.00","31.46M","-0.50%"
"Nov 20","1,760.74","1,628.16","1,818.06","1,616.03","35.03M","8.62%"
"Oct 20","1,621.01","1,484.27","1,687.00","1,436.00","39.26M","10.30%"
"Sep 20","1,469.60","1,636.63","1,733.18","1,406.55","40.57M","-10.07%"
"Aug 20","1,634.18","1,486.64","1,659.22","1,458.65","37.31M","10.20%"
"Jul 20","1,482.96","1,411.10","1,586.99","1,409.82","35.24M","4.91%"
"Jun 20","1,413.61","1,418.39","1,475.94","1,347.01","38.83M","-1.07%"
"May 20","1,428.92","1,328.50","1,441.00","1,299.00","31.89M","5.95%"
"Apr 20","1,348.66","1,122.00","1,359.99","1,079.81","46.34M","15.98%"
"Mar 20","1,162.81","1,351.61","1,410.15","1,013.54","71.40M","-13.18%"
"Feb 20","1,339.33","1,462.00","1,532.11","1,271.00","37.10M","-6.62%"
"Jan 20","1,434.23","1,341.55","1,503.21","1,341.55","33.71M","7.27%"
"Dec 19","1,337.02","1,301.00","1,365.00","1,279.00","27.63M","2.46%"
"Nov 19","1,304.96","1,265.00","1,335.53","1,260.50","24.96M","3.56%"
"Oct 19","1,260.11","1,219.00","1,299.31","1,162.43","29.35M","3.37%"
"Sep 19","1,219.00","1,177.03","1,248.30","1,163.20","27.19M","2.60%"
"Aug 19","1,188.10","1,214.03","1,234.11","1,140.14","28.95M","-2.35%"
"Jul 19","1,216.68","1,098.00","1,265.55","1,093.70","32.95M","12.56%"
"Jun 19","1,080.91","1,065.50","1,124.11","1,025.00","34.10M","-2.06%"
"May 19","1,103.63","1,188.05","1,190.85","1,100.18","33.32M","-7.14%"
"Apr 19","1,188.48","1,184.10","1,289.27","1,175.00","27.86M","1.29%"
"Mar 19","1,173.31","1,124.90","1,231.79","1,123.30","31.66M","4.77%"
"Feb 19","1,119.92","1,112.40","1,147.00","1,086.00","28.93M","0.32%"
"Jan 19","1,116.37","1,016.57","1,117.33","1,014.07","30.71M","7.80%"
"Dec 18","1,035.61","1,123.14","1,124.65","970.11","40.26M","-5.37%"
"Nov 18","1,094.43","1,075.80","1,095.57","996.02","36.74M","1.64%"
"Oct 18","1,076.77","1,199.89","1,209.96","995.83","48.50M","-9.78%"
"Sep 18","1,193.47","1,204.27","1,212.99","1,146.91","28.86M","-2.03%"
"Aug 18","1,218.19","1,228.00","1,256.50","1,188.24","28.82M","0.08%"
"Jul 18","1,217.26","1,099.00","1,273.89","1,093.80","31.95M","9.11%"
"Jun 18","1,115.65","1,099.35","1,186.29","1,096.01","32.10M","2.83%"
"May 18","1,084.99","1,013.66","1,110.75","1,006.29","31.85M","6.65%"
"Apr 18","1,017.33","1,022.82","1,094.17","990.37","41.77M","-1.40%"
"Mar 18","1,031.79","1,107.87","1,177.05","980.64","45.43M","-6.60%"
"Feb 18","1,104.73","1,162.61","1,174.00","992.56","42.38M","-5.57%"
"Jan 18","1,169.94","1,048.34","1,186.89","1,045.23","28.74M","11.81%"
"Dec 17","1,046.40","1,015.80","1,078.49","988.28","28.16M","2.45%"
"Nov 17","1,021.41","1,017.21","1,062.38","1,013.01","24.27M","0.47%"
"Oct 17","1,016.64","959.98","1,048.39","947.84","31.78M","6.00%"
"Sep 17","959.11","941.13","959.79","909.70","28.08M","2.11%"
"Aug 17","939.33","932.38","941.98","903.40","27.96M","0.95%"
"Jul 17","930.50","912.18","986.20","894.79","36.68M","2.40%"
"Jun 17","908.73","968.95","988.25","908.31","43.59M","-5.82%"
