"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","2,246.33","2,277.80","2,451.37","2,038.00","1.84M","-1.57%"
"Apr 22","2,282.19","2,790.00","2,873.82","2,255.01","2.13M","-17.95%"
"Mar 22","2,781.35","2,697.57","2,875.87","2,505.50","36.46M","2.97%"
"Feb 22","2,701.14","2,751.89","3,030.93","2,499.06","46.24M","-0.18%"
"Jan 22","2,706.07","2,901.10","2,929.70","2,490.00","38.36M","-6.59%"
"Dec 21","2,897.04","2,880.00","2,982.00","2,786.42","30.99M","2.08%"
"Nov 21","2,837.95","2,960.92","3,019.33","2,832.03","30.41M","-4.15%"
"Oct 21","2,960.92","2,688.95","2,973.00","2,621.00","36.04M","10.75%"
"Sep 21","2,673.52","2,900.00","2,925.07","2,671.12","29.54M","-7.62%"
"Aug 21","2,893.95","2,702.34","2,919.41","2,666.39","23.07M","7.40%"
"Jul 21","2,694.53","2,434.50","2,765.94","2,430.63","30.54M","10.35%"
"Jun 21","2,441.80","2,374.40","2,461.90","2,329.50","27.25M","3.61%"
"May 21","2,356.80","2,364.90","2,389.10","2,193.60","30.18M","0.14%"
"Apr 21","2,353.50","2,092.20","2,431.40","2,091.40","35.12M","14.11%"
"Mar 21","2,062.52","2,048.00","2,113.74","1,994.00","37.81M","2.01%"
"Feb 21","2,021.91","1,844.58","2,145.14","1,844.58","33.92M","10.65%"
"Jan 21","1,827.36","1,760.00","1,932.08","1,696.10","39.59M","4.26%"
"Dec 20","1,752.64","1,766.66","1,843.83","1,694.00","30.42M","-0.10%"
"Nov 20","1,754.40","1,623.54","1,816.89","1,612.11","31.57M","8.56%"
"Oct 20","1,616.11","1,483.66","1,681.31","1,433.23","42.75M","10.27%"
"Sep 20","1,465.60","1,632.16","1,726.10","1,402.15","41.83M","-10.06%"
"Aug 20","1,629.53","1,491.00","1,652.79","1,464.03","30.73M","9.52%"
"Jul 20","1,487.95","1,419.17","1,587.05","1,414.18","41.16M","4.93%"
"Jun 20","1,418.05","1,425.70","1,475.79","1,351.65","40.72M","-1.08%"
"May 20","1,433.52","1,324.09","1,445.11","1,296.01","36.26M","6.45%"
"Apr 20","1,346.70","1,124.00","1,360.15","1,075.08","56.21M","15.90%"
"Mar 20","1,161.95","1,351.39","1,408.19","1,008.87","78.55M","-13.24%"
"Feb 20","1,339.25","1,461.65","1,530.74","1,268.21","41.57M","-6.53%"
"Jan 20","1,432.78","1,348.41","1,500.58","1,346.49","33.70M","6.97%"
"Dec 19","1,339.39","1,302.56","1,367.07","1,277.05","28.28M","2.71%"
"Nov 19","1,304.09","1,265.80","1,333.92","1,259.71","26.36M","3.60%"
"Oct 19","1,258.80","1,222.49","1,299.24","1,163.14","31.13M","3.08%"
"Sep 19","1,221.14","1,181.85","1,248.02","1,163.71","26.27M","2.57%"
"Aug 19","1,190.53","1,217.63","1,236.30","1,142.75","29.35M","-2.27%"
"Jul 19","1,218.20","1,101.04","1,268.39","1,095.33","35.76M","12.50%"
"Jun 19","1,082.80","1,066.93","1,126.57","1,027.03","35.62M","-2.14%"
"May 19","1,106.50","1,197.50","1,199.25","1,103.35","37.14M","-7.71%"
"Apr 19","1,198.96","1,187.54","1,296.97","1,183.00","32.37M","1.88%"
"Mar 19","1,176.89","1,131.00","1,236.44","1,130.20","33.19M","4.47%"
"Feb 19","1,126.55","1,122.29","1,154.00","1,093.59","32.61M","0.06%"
"Jan 19","1,125.89","1,027.20","1,127.67","1,022.37","34.86M","7.74%"
"Dec 18","1,044.96","1,132.16","1,135.00","977.66","42.87M","-5.83%"
"Nov 18","1,109.65","1,091.40","1,109.93","1,002.21","39.31M","1.75%"
"Oct 18","1,090.58","1,213.00","1,224.52","1,007.20","56.55M","-9.65%"
"Sep 18","1,207.08","1,222.52","1,227.87","1,151.50","35.93M","-2.01%"
"Aug 18","1,231.80","1,239.11","1,271.96","1,204.00","34.30M","0.37%"
"Jul 18","1,227.22","1,115.35","1,291.44","1,106.60","41.81M","8.68%"
"Jun 18","1,129.19","1,112.87","1,201.49","1,106.07","40.18M","2.65%"
"May 18","1,100.00","1,016.30","1,118.15","1,007.89","37.04M","7.99%"
"Apr 18","1,018.58","1,027.62","1,097.51","994.25","49.25M","-1.79%"
"Mar 18","1,037.14","1,109.54","1,178.16","984.00","52.12M","-6.05%"
"Feb 18","1,103.92","1,175.99","1,187.45","997.00","51.34M","-6.62%"
"Jan 18","1,182.22","1,053.02","1,198.00","1,053.02","32.89M","12.23%"
"Dec 17","1,053.40","1,030.41","1,086.49","1,002.32","29.94M","1.66%"
"Nov 17","1,036.17","1,036.31","1,080.00","1,028.66","28.69M","0.30%"
"Oct 17","1,033.04","975.65","1,063.62","961.95","36.85M","6.09%"
"Sep 17","973.72","957.47","975.81","924.51","29.63M","1.93%"
"Aug 17","955.24","947.81","957.20","918.60","32.78M","1.03%"
"Jul 17","945.50","933.22","1,006.19","915.31","41.92M","1.70%"
"Jun 17","929.68","990.96","1,008.61","929.60","44.09M","-5.82%"
