"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","4,158.24","4,132.70","4,307.90","3,810.50","-","0.64%"
"Apr 22","4,131.93","4,547.90","4,593.90","4,123.87","-","-8.80%"
"Mar 22","4,530.41","4,358.08","4,637.90","4,157.20","-","3.58%"
"Feb 22","4,373.79","4,521.35","4,595.10","4,114.50","-","-3.14%"
"Jan 22","4,515.55","4,781.00","4,817.88","4,221.54","-","-5.26%"
"Dec 21","4,766.18","4,623.80","4,808.52","4,494.20","-","4.36%"
"Nov 21","4,567.00","4,616.47","4,743.74","4,560.26","-","-0.83%"
"Oct 21","4,605.38","4,324.71","4,608.70","4,278.70","-","6.91%"
"Sep 21","4,307.54","4,531.04","4,544.58","4,304.90","-","-4.76%"
"Aug 21","4,522.68","4,415.90","4,537.80","4,369.20","-","2.90%"
"Jul 21","4,395.26","4,304.10","4,430.20","4,232.80","-","2.27%"
"Jun 21","4,297.50","4,216.52","4,302.43","4,164.40","-","2.22%"
"May 21","4,204.11","4,191.98","4,238.04","4,056.88","-","0.55%"
"Apr 21","4,181.17","3,992.78","4,218.78","3,992.78","-","5.24%"
"Mar 21","3,972.89","3,842.51","3,994.41","3,723.34","-","4.24%"
"Feb 21","3,811.15","3,731.17","3,950.43","3,725.62","-","2.61%"
"Jan 21","3,714.24","3,764.61","3,870.90","3,662.71","-","-1.11%"
"Dec 20","3,756.07","3,645.87","3,760.20","3,633.40","-","3.71%"
"Nov 20","3,621.63","3,296.20","3,645.99","3,279.74","-","10.75%"
"Oct 20","3,269.96","3,385.87","3,549.85","3,233.94","-","-2.77%"
"Sep 20","3,363.00","3,507.44","3,588.11","3,209.45","-","-3.92%"
"Aug 20","3,500.31","3,288.26","3,514.77","3,284.53","-","7.01%"
"Jul 20","3,271.12","3,105.92","3,279.99","3,101.17","-","5.51%"
"Jun 20","3,100.29","3,038.78","3,233.13","2,965.66","-","1.84%"
"May 20","3,044.31","2,869.09","3,068.67","2,766.64","-","4.53%"
"Apr 20","2,912.43","2,498.08","2,954.86","2,447.49","-","12.68%"
"Mar 20","2,584.59","2,974.28","3,136.72","2,191.86","-","-12.51%"
"Feb 20","2,954.22","3,235.66","3,393.52","2,855.84","-","-8.41%"
"Jan 20","3,225.52","3,244.67","3,337.77","3,214.64","-","-0.16%"
"Dec 19","3,230.78","3,143.85","3,247.93","3,070.33","-","2.86%"
"Nov 19","3,140.98","3,050.72","3,154.26","3,050.72","-","3.40%"
"Oct 19","3,037.56","2,983.69","3,050.10","2,855.94","-","2.04%"
"Sep 19","2,976.74","2,909.01","3,021.99","2,891.85","-","1.72%"
"Aug 19","2,926.46","2,980.32","3,013.59","2,822.12","-","-1.81%"
"Jul 19","2,980.38","2,971.41","3,027.98","2,952.22","-","1.31%"
"Jun 19","2,941.76","2,751.53","2,964.15","2,728.81","-","6.89%"
"May 19","2,752.06","2,952.33","2,954.13","2,750.52","-","-6.58%"
"Apr 19","2,945.83","2,848.63","2,949.52","2,848.63","-","3.93%"
"Mar 19","2,834.40","2,798.22","2,860.31","2,722.27","-","1.79%"
"Feb 19","2,784.49","2,702.32","2,813.49","2,681.83","-","2.97%"
"Jan 19","2,704.10","2,476.96","2,708.95","2,443.96","-","7.87%"
"Dec 18","2,506.85","2,790.50","2,800.18","2,346.58","-","-9.18%"
"Nov 18","2,760.17","2,717.58","2,815.15","2,631.09","-","1.79%"
"Oct 18","2,711.74","2,926.29","2,939.86","2,603.54","-","-6.94%"
"Sep 18","2,913.98","2,896.96","2,940.91","2,864.12","-","0.43%"
"Aug 18","2,901.52","2,821.17","2,916.50","2,796.34","-","3.03%"
"Jul 18","2,816.29","2,704.95","2,848.03","2,698.95","-","3.60%"
"Jun 18","2,718.37","2,718.70","2,791.47","2,691.99","-","0.48%"
"May 18","2,705.27","2,643.64","2,742.24","2,594.62","-","2.16%"
"Apr 18","2,648.05","2,633.45","2,717.49","2,553.80","-","0.27%"
"Mar 18","2,640.87","2,715.22","2,801.90","2,585.89","-","-2.69%"
"Feb 18","2,713.83","2,816.45","2,835.96","2,532.69","-","-3.89%"
"Jan 18","2,823.81","2,683.73","2,872.87","2,682.36","-","5.62%"
"Dec 17","2,673.61","2,645.10","2,694.97","2,605.52","-","0.98%"
"Nov 17","2,647.58","2,583.21","2,657.74","2,557.45","-","2.81%"
"Oct 17","2,575.26","2,521.20","2,582.98","2,520.40","-","2.22%"
"Sep 17","2,519.36","2,474.42","2,519.44","2,446.55","-","1.93%"
"Aug 17","2,471.65","2,477.10","2,490.87","2,417.35","-","0.05%"
"Jul 17","2,470.30","2,431.39","2,484.04","2,407.70","-","1.93%"
"Jun 17","2,423.41","2,415.65","2,453.82","2,405.70","-","0.48%"
