"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","507.11","510.49","513.51","471.38","3.34M","-0.28%"
"Apr 22","508.55","510.68","553.29","504.53","61.46M","-0.28%"
"Mar 22","509.97","470.89","521.89","467.73","73.72M","7.17%"
"Feb 22","475.87","475.00","500.93","445.73","58.54M","0.70%"
"Jan 22","472.57","500.00","503.75","447.27","80.68M","-5.89%"
"Dec 21","502.14","452.89","509.23","439.22","64.88M","13.04%"
"Nov 21","444.22","461.82","466.00","436.00","61.08M","-3.53%"
"Oct 21","460.47","391.60","461.39","383.12","60.24M","17.85%"
"Sep 21","390.74","416.54","424.40","390.46","59.58M","-6.13%"
"Aug 21","416.27","413.57","431.36","404.30","47.55M","0.98%"
"Jul 21","412.22","402.03","422.53","401.81","51.59M","2.94%"
"Jun 21","400.44","413.73","413.73","387.25","82.58M","-2.79%"
"May 21","411.92","401.00","425.98","400.53","50.54M","3.29%"
"Apr 21","398.80","372.20","402.16","360.55","56.37M","7.18%"
"Mar 21","372.07","334.36","380.50","332.67","79.60M","12.00%"
"Feb 21","332.22","335.03","344.64","320.35","69.09M","-0.41%"
"Jan 21","333.58","351.45","367.49","329.01","63.13M","-4.88%"
"Dec 20","350.68","344.77","354.10","329.40","63.97M","4.26%"
"Nov 20","336.34","312.64","367.95","307.36","74.43M","10.22%"
"Oct 20","305.14","312.91","335.65","299.60","57.92M","-2.13%"
"Sep 20","311.77","310.16","323.82","289.64","59.49M","-0.25%"
"Aug 20","312.55","303.59","324.57","299.20","57.21M","3.23%"
"Jul 20","302.78","295.83","310.97","287.10","61.21M","2.65%"
"Jun 20","294.95","304.02","315.84","273.71","85.41M","-3.25%"
"May 20","304.85","288.39","309.66","275.56","86.56M","4.23%"
"Apr 20","292.47","238.69","304.00","226.03","104.54M","17.28%"
"Mar 20","249.38","257.34","295.84","187.72","189.88M","-2.19%"
"Feb 20","254.96","275.13","306.71","245.30","94.54M","-6.42%"
"Jan 20","272.45","293.98","302.54","271.18","84.40M","-7.32%"
"Dec 19","293.98","281.78","300.00","273.85","60.76M","5.04%"
"Nov 19","279.87","253.99","283.00","249.09","72.51M","10.75%"
"Oct 19","252.70","219.19","255.72","212.08","109.26M","16.28%"
"Sep 19","217.32","231.74","236.56","213.12","88.10M","-7.13%"
"Aug 19","234.00","249.19","251.58","220.78","76.60M","-6.03%"
"Jul 19","249.01","245.95","268.69","239.53","82.53M","2.05%"
"Jun 19","244.01","241.49","253.49","234.83","72.93M","0.91%"
"May 19","241.80","233.07","251.18","227.18","101.18M","3.75%"
"Apr 19","233.07","249.71","250.20","208.07","173.46M","-5.74%"
"Mar 19","247.26","243.56","259.25","234.51","101.32M","2.08%"
"Feb 19","242.22","268.47","272.49","239.15","77.37M","-10.36%"
"Jan 19","270.20","245.00","272.44","236.12","82.84M","8.46%"
"Dec 18","249.12","283.00","287.94","231.81","88.90M","-11.46%"
"Nov 18","281.36","262.92","285.45","258.28","74.86M","7.66%"
"Oct 18","261.35","267.25","272.81","253.32","84.59M","-1.76%"
"Sep 18","266.04","268.00","271.16","257.48","53.23M","-0.90%"
"Aug 18","268.46","256.10","270.17","252.23","47.63M","6.02%"
"Jul 18","253.22","245.00","259.01","244.12","49.24M","3.21%"
"Jun 18","245.34","243.74","256.73","241.29","55.45M","1.59%"
"May 18","241.51","237.00","249.17","228.23","59.23M","2.16%"
"Apr 18","236.40","218.46","241.67","214.63","72.73M","10.47%"
"Mar 18","214.00","225.70","231.27","212.50","79.40M","-5.38%"
"Feb 18","226.16","235.26","237.82","208.48","80.19M","-4.49%"
"Jan 18","236.78","221.02","250.79","220.00","82.31M","7.40%"
"Dec 17","220.46","228.89","231.77","218.19","55.74M","-3.38%"
"Nov 17","228.17","211.62","228.75","208.92","51.06M","8.54%"
"Oct 17","210.22","196.59","212.77","186.00","81.21M","7.34%"
"Sep 17","195.85","199.79","200.76","188.25","57.67M","-1.53%"
"Aug 17","198.90","193.40","199.49","190.63","50.91M","3.70%"
"Jul 17","191.81","186.29","193.00","183.86","55.91M","3.45%"
"Jun 17","185.42","175.78","188.66","175.19","65.42M","5.85%"
