"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","212.88","212.01","214.72","189.99","4.87M","-0.12%"
"Apr 22","213.13","223.08","229.23","201.10","7.96M","-3.90%"
"Mar 22","221.77","214.48","228.81","186.67","189.04M","2.61%"
"Feb 22","216.12","226.90","235.85","201.45","171.73M","-4.44%"
"Jan 22","226.17","217.52","228.12","195.65","224.91M","4.37%"
"Dec 21","216.71","196.03","219.73","190.10","189.07M","11.84%"
"Nov 21","193.77","213.49","221.61","192.55","303.90M","-8.50%"
"Oct 21","211.77","224.17","236.96","208.54","170.24M","-4.93%"
"Sep 21","222.75","229.10","233.33","216.31","175.66M","-2.77%"
"Aug 21","229.10","246.24","247.83","228.66","148.47M","-7.02%"
"Jul 21","246.39","234.20","252.67","234.05","157.83M","5.38%"
"Jun 21","233.82","229.44","238.48","226.28","151.65M","2.87%"
"May 21","227.30","234.05","235.74","220.31","127.25M","-2.68%"
"Apr 21","233.56","213.78","237.50","212.30","152.92M","10.31%"
"Mar 21","211.73","214.97","228.23","205.78","228.91M","-0.31%"
"Feb 21","212.39","195.14","220.53","195.02","197.05M","9.90%"
"Jan 21","193.25","220.25","220.25","192.81","198.38M","-11.65%"
"Dec 20","218.73","212.13","220.39","204.50","178.61M","3.98%"
"Nov 20","210.35","184.51","217.65","183.89","156.69M","15.76%"
"Oct 20","181.71","202.21","207.97","179.23","172.18M","-9.13%"
"Sep 20","199.97","212.21","217.35","193.13","176.38M","-5.67%"
"Aug 20","211.99","191.80","216.16","190.08","161.60M","11.34%"
"Jul 20","190.40","193.85","200.95","187.18","168.92M","-1.43%"
"Jun 20","193.17","194.71","202.18","186.21","192.26M","-1.06%"
"May 20","195.24","174.45","198.29","171.72","189.88M","9.24%"
"Apr 20","178.72","156.32","182.25","150.60","263.80M","10.92%"
"Mar 20","161.12","186.32","194.49","133.93","418.01M","-11.36%"
"Feb 20","181.76","199.94","214.17","172.98","199.96M","-8.65%"
"Jan 20","198.97","189.00","210.13","187.16","184.07M","5.89%"
"Dec 19","187.90","184.24","189.89","179.66","160.65M","1.84%"
"Nov 19","184.51","180.13","184.85","175.18","134.11M","3.16%"
"Oct 19","178.86","173.02","180.18","168.59","163.21M","3.98%"
"Sep 19","172.01","180.52","187.05","172.01","172.06M","-4.87%"
"Aug 19","180.82","179.19","182.40","166.97","152.99M","1.58%"
"Jul 19","178.00","175.33","184.07","172.74","126.74M","2.56%"
"Jun 19","173.55","161.54","174.94","156.75","158.89M","7.57%"
"May 19","161.33","165.54","165.77","156.42","147.28M","-1.89%"
"Apr 19","164.43","157.53","165.70","156.32","136.49M","5.28%"
"Mar 19","156.19","149.46","156.82","144.50","207.40M","5.45%"
"Feb 19","148.12","135.39","148.82","135.26","154.78M","9.71%"
"Jan 19","135.01","130.00","139.90","127.88","193.21M","2.33%"
"Dec 18","131.94","145.00","145.72","121.60","242.68M","-6.89%"
"Nov 18","141.71","139.00","145.46","129.54","208.77M","2.80%"
"Oct 18","137.85","150.89","151.56","129.79","254.09M","-8.16%"
"Sep 18","150.09","146.93","150.64","142.54","147.50M","2.18%"
"Aug 18","146.89","137.74","147.71","137.00","143.16M","7.42%"
"Jul 18","136.74","131.96","143.14","131.15","161.56M","3.24%"
"Jun 18","132.45","131.84","136.69","129.53","154.72M","1.32%"
"May 18","130.72","126.86","132.50","125.32","147.56M","3.03%"
"Apr 18","126.88","119.27","127.90","116.71","165.24M","6.07%"
"Mar 18","119.62","123.26","125.44","116.03","184.69M","-2.70%"
"Feb 18","122.94","124.74","126.26","111.02","186.51M","-1.04%"
"Jan 18","124.23","114.57","126.88","113.95","151.40M","8.95%"
"Dec 17","114.02","112.38","114.92","106.60","178.52M","1.27%"
"Nov 17","112.59","110.50","113.62","106.90","137.18M","2.37%"
"Oct 17","109.98","105.54","110.74","104.90","142.87M","4.50%"
"Sep 17","105.24","104.04","106.83","102.26","141.26M","1.66%"
"Aug 17","103.52","100.36","104.20","99.43","151.87M","3.98%"
"Jul 17","99.56","94.38","101.18","93.19","156.79M","6.16%"
"Jun 17","93.78","95.40","96.60","92.80","199.95M","-1.52%"
